timestamp,temperature,vibration,current,stress_score,status
2026-05-30 19:30:23,35.0,0.0,0.71,27,Normal
2026-05-30 19:30:24,34.9,0.0,0.85,26,Normal
2026-05-30 19:30:27,35.0,0.0,0.59,27,Normal
2026-05-30 19:30:30,34.9,0.0,0.87,26,Normal
2026-05-30 19:30:33,34.8,0.0,0.69,26,Normal
2026-05-30 19:30:36,34.8,0.0,0.71,26,Normal
2026-05-30 19:30:40,34.8,0.0,0.65,26,Normal
2026-05-30 19:30:43,34.8,0.0,0.59,26,Normal
2026-05-30 19:30:46,34.9,0.0,0.63,26,Normal
2026-05-30 19:30:49,34.8,0.0,0.48,26,Normal
2026-05-30 19:30:52,34.8,0.0,0.78,26,Normal
2026-05-30 19:30:56,34.8,0.0,0.59,26,Normal
2026-05-30 19:30:59,34.9,0.0,0.64,26,Normal
2026-05-30 19:31:02,34.8,0.0,0.45,26,Normal
2026-05-30 19:31:05,34.8,0.0,0.56,26,Normal
2026-05-30 19:31:08,34.7,0.0,0.86,26,Normal
2026-05-30 19:31:11,34.8,0.0,0.3,26,Normal
2026-05-30 19:31:15,34.8,0.0,0.58,26,Normal
2026-05-30 19:31:17,34.7,0.0,0.43,26,Normal
2026-05-30 19:31:21,34.8,0.0,0.4,26,Normal
2026-05-30 19:31:25,34.8,0.0,0.44,26,Normal
2026-05-30 19:31:28,34.7,0.0,0.5,26,Normal
2026-05-30 19:31:31,34.7,0.0,0.32,26,Normal
2026-05-30 19:31:34,34.7,0.0,0.48,26,Normal
2026-05-30 19:31:37,34.8,0.0,0.6,26,Normal
2026-05-30 19:31:41,34.7,0.0,0.4,26,Normal
2026-05-30 19:31:44,34.7,0.0,0.58,26,Normal
2026-05-30 19:31:47,34.6,0.0,0.32,26,Normal
2026-05-30 19:31:50,34.7,0.0,0.65,26,Normal
2026-05-30 19:31:53,34.7,0.0,0.54,26,Normal
2026-05-30 19:31:57,34.7,0.0,0.36,26,Normal
2026-05-30 19:32:00,34.7,0.0,0.82,26,Normal
2026-05-30 19:32:04,34.7,0.0,0.89,26,Normal
2026-05-30 19:32:07,34.7,0.0,0.34,26,Normal
2026-05-30 19:32:10,34.7,0.0,0.36,26,Normal
2026-05-30 19:32:13,34.7,0.0,0.44,26,Normal
2026-05-30 19:32:17,34.7,0.0,0.77,26,Normal
2026-05-30 19:32:20,34.7,0.0,0.32,26,Normal
2026-05-30 19:32:24,34.6,0.0,0.39,26,Normal
2026-05-30 19:32:27,34.7,0.0,0.48,26,Normal
2026-05-30 19:32:30,34.7,0.0,0.79,26,Normal
2026-05-30 19:32:33,34.7,0.0,0.82,26,Normal
2026-05-30 19:32:36,34.7,0.0,0.82,26,Normal
2026-05-30 19:32:40,34.7,1.0,0.0,26,Normal
2026-05-30 19:32:42,34.7,1.0,0.0,26,Normal
2026-05-30 19:32:46,34.7,1.0,0.0,26,Normal
2026-05-30 19:32:49,34.7,1.0,0.0,26,Normal
2026-05-30 19:32:52,34.8,1.0,0.0,26,Normal
2026-05-30 19:32:56,34.8,1.0,0.0,26,Normal
2026-05-30 19:32:59,34.8,1.0,0.0,26,Normal
2026-05-30 19:33:02,34.7,1.0,0.0,26,Normal
2026-05-30 19:33:05,34.9,1.0,0.0,26,Normal
2026-05-30 19:33:08,34.8,1.0,0.0,26,Normal
2026-05-30 19:33:11,34.8,1.0,0.0,26,Normal
2026-05-30 19:33:14,34.9,0.0,0.41,26,Normal
2026-05-30 19:33:17,34.9,0.0,0.46,26,Normal
2026-05-30 19:33:21,34.8,0.0,0.76,26,Normal
2026-05-30 19:33:24,34.9,0.0,0.84,26,Normal
2026-05-30 19:33:27,34.8,0.0,0.3,26,Normal
2026-05-30 19:33:30,34.9,0.0,0.73,26,Normal
